EAN,SKU,Produkt,Variant,Storlek,Centra Antal,Centra COG (SEK),Centra Enhetskostnad,ES Antal,ES FIFO-värde (SEK),ES Snittkostnad,ES Källa,Antal Diff,Värde Diff (SEK),Värde Diff %,Möjlig Orsak
7340119364802,AW577-M,"M Haga Shirt Jacket","Sand Shell",M,22,10400,472.73,22,11531.08,524.14,delivery,0,1131.08,10.88,"Frakt/tull ingår troligen i ES"
7340119378977,VA0223,"W Bohus Overshirt Jacket","Mermaid Green",XL,6,2934,489,6,4043.16,673.86,delivery,0,1109.16,37.8,"Stor kostnadsskillnad - kontrollera"
7340119378984,VA0223,"W Bohus Overshirt Jacket","Mermaid Green",XXL,6,2934,489,6,4043.16,673.86,delivery,0,1109.16,37.8,"Stor kostnadsskillnad - kontrollera"
7340119388853,VA0288,"W Koltjärn Baselayer Pant","Ink Blue",M,90,11700,130,90,12791.7,142.13,delivery,0,1091.7,9.33,"Frakt/tull ingår troligen i ES"
7340119386958,VA0289,"M Koltjärn Baselayer Top","Ink Blue",L,81,12960,160,81,14045.4,173.4,delivery,0,1085.4,8.37,"Frakt/tull ingår troligen i ES"
7340119373477,AW625-W,"W Vargön Fat Wool Vest","Black Granite",M,47,21150,450,47,22230.53,472.99,delivery,0,1080.53,5.11,"Frakt/tull ingår troligen i ES"
7340119343364,AW213,"U Vargön Wool Tube","Off White",One size,78,8759.4,112.3,78,9823.32,125.94,delivery,0,1063.92,12.15,"Frakt/tull ingår troligen i ES"
7340119364826,AW577-M,"M Haga Shirt Jacket","Sand Shell",XL,3,1040,346.67,0,0,0,unknown,-3,-1040,-100,"Antal skiljer: -3; Saknar leveransdata i ES"
,w-fjällnäs-set,"W Fjällnäs Tencel/Merino Wool Base Layer Set","",S/M,0,0,0,3,1014,338,stockChange,3,1014,100,"Antal skiljer: +3; Finns endast i ES"
7340119340974,SP21-60-W,"W Fårö Wool Dress","Off White",S,74,38531.8,520.7,74,39539.5,534.32,delivery,0,1007.7,2.62,"Enhetskostnad: +2.6%"
7340119389973,VA0259,"M Tvärå Down Jacket","Ivy Green",L,52,54600,1050,52,55602.56,1069.28,delivery,0,1002.56,1.84,"Enhetskostnad: +1.8%"
7340119380888,AW12-W,"W Fårö Wool Jersey","Sand",M,41,15170,370,41,14178.21,345.81,delivery,0,-991.79,-6.54,"ES-kostnad lägre - växelkurs/tidpunkt"
7340119387771,VA0258,"W Tvärå Down Jacket","Arctic Blue",L,27,28350,1050,27,27365.31,1013.53,delivery,0,-984.69,-3.47,"Enhetskostnad: -3.5%"
7340119380895,AW12-W,"W Fårö Wool Jersey","Sand",L,39,14430,370,39,13486.59,345.81,delivery,0,-943.41,-6.54,"ES-kostnad lägre - växelkurs/tidpunkt"
7340119364444,SP999-W,"W Åhus Long Arm Active Tee","Ocean Blue",L,24,5428.8,226.2,24,6313.44,263.06,delivery,0,884.64,16.3,"Frakt/tull ingår troligen i ES"
