Brand,SKU,Collection,Product,Variant,Variant SKU,COG,Size,Size SKU,EAN,UPC,Quantity,Cost price,
VARG,SP454-W,SS23,W Tromsö Active Cargo Pant,Caviar Black,-CAB,0.00,L,-5,7340119357613,,0,#DIV/0!,
VARG,SP454-W,SS23,W Tromsö Active Cargo Pant,Caviar Black,-CAB,0.00,XL,-6,7340119357620,,0,#DIV/0!,
VARG,SP454-W,SS23,W Tromsö Active Cargo Pant,Chocolate Brown,-CHO,0.00,XS,-2,7340119363188,,0,#DIV/0!,
VARG,SP454-W,SS23,W Tromsö Active Cargo Pant,Chocolate Brown,-CHO,0.00,S,-3,7340119363195,,0,#DIV/0!,
VARG,SP454-W,SS23,W Tromsö Active Cargo Pant,Chocolate Brown,-CHO,0.00,M,-4,7340119363201,,0,#DIV/0!,
VARG,SP454-W,SS23,W Tromsö Active Cargo Pant,Chocolate Brown,-CHO,5271.50,L,-5,7340119363218,,13,405.5,
VARG,SP454-W,SS23,W Tromsö Active Cargo Pant,Chocolate Brown,-CHO,2433.00,XL,-6,7340119363225,,6,405.5,
VARG,SP454-W,SS23,W Tromsö Active Cargo Pant,Covert Green,-COV,0.00,XS,-2,7340119357637,,0,#DIV/0!,
VARG,SP454-W,SS23,W Tromsö Active Cargo Pant,Covert Green,-COV,0.00,S,-3,7340119357644,,0,#DIV/0!,
VARG,SP454-W,SS23,W Tromsö Active Cargo Pant,Covert Green,-COV,0.00,M,-4,7340119357651,,0,#DIV/0!,
VARG,SP454-W,SS23,W Tromsö Active Cargo Pant,Covert Green,-COV,789.20,L,-5,7340119357668,,2,394.6,
VARG,SP454-W,SS23,W Tromsö Active Cargo Pant,Covert Green,-COV,0.00,XL,-6,7340119357675,,0,#DIV/0!,
VARG,SP454-W,SS23,W Tromsö Active Cargo Pant,Lava Black,005,0.00,XS,02,7340119384008,,0,#DIV/0!,
VARG,SP454-W,SS23,W Tromsö Active Cargo Pant,Lava Black,005,0.00,S,03,7340119384015,,0,#DIV/0!,
VARG,SP454-W,SS23,W Tromsö Active Cargo Pant,Lava Black,005,0.00,M,04,7340119384022,,0,#DIV/0!,
VARG,SP454-W,SS23,W Tromsö Active Cargo Pant,Lava Black,005,0.00,L,05,7340119384039,,0,#DIV/0!,
VARG,SP454-W,SS23,W Tromsö Active Cargo Pant,Lava Black,005,0.00,XL,06,7340119384046,,0,#DIV/0!,
